date,time,latitude,longitude,time_24h,day,month,year
2011-08-29,6:56:58 PM,42.3916233333333,-88.0891633333333,18:56:58,29,8,2011
2011-08-29,6:57:08 PM,42.3913483333333,-88.0891633333333,18:57:08,29,8,2011
2011-08-29,6:57:18 PM,42.3910216666667,-88.0891566666667,18:57:18,29,8,2011
2011-08-29,6:57:28 PM,42.3906366666667,-88.0891583333333,18:57:28,29,8,2011
2011-08-29,6:57:38 PM,42.39041,-88.0888583333333,18:57:38,29,8,2011
2011-08-29,6:57:48 PM,42.390395,-88.088315,18:57:48,29,8,2011
2011-08-29,6:57:58 PM,42.3906733333333,-88.0880016666667,18:57:58,29,8,2011
2011-08-29,6:58:08 PM,42.3910266666667,-88.0880016666667,18:58:08,29,8,2011
2011-08-29,6:58:18 PM,42.3914033333333,-88.0880033333333,18:58:18,29,8,2011
2011-08-29,6:58:28 PM,42.3917183333333,-88.087995,18:58:28,29,8,2011
2011-08-29,6:58:38 PM,42.3920383333333,-88.0879883333333,18:58:38,29,8,2011
2011-08-29,6:58:48 PM,42.39241,-88.0880783333333,18:58:48,29,8,2011
2011-08-29,6:58:58 PM,42.3928,-88.0883316666667,18:58:58,29,8,2011
2011-08-29,6:59:08 PM,42.3932566666667,-88.08837,18:59:08,29,8,2011
2011-08-29,6:59:18 PM,42.3936,-88.0882316666667,18:59:18,29,8,2011
2011-08-29,7:00:08 PM,42.3932033333333,-88.0884166666667,19:00:08,29,8,2011
2011-08-29,7:00:18 PM,42.3927916666667,-88.0883116666667,19:00:18,29,8,2011
2011-08-29,7:00:28 PM,42.3924766666667,-88.08821,19:00:28,29,8,2011
2011-08-29,7:00:38 PM,42.392385,-88.0886966666667,19:00:38,29,8,2011
2011-08-29,7:00:48 PM,42.3920983333333,-88.0891133333333,19:00:48,29,8,2011
2011-08-29,7:00:58 PM,42.39218,-88.0894983333333,19:00:58,29,8,2011
2011-08-29,7:01:08 PM,42.3924283333333,-88.08979,19:01:08,29,8,2011
2011-08-29,7:01:18 PM,42.3927216666667,-88.0900416666667,19:01:18,29,8,2011
2011-08-29,7:01:28 PM,42.3929583333333,-88.0903,19:01:28,29,8,2011
2011-08-29,7:01:38 PM,42.39299,-88.090895,19:01:38,29,8,2011
2011-08-29,7:01:48 PM,42.3930016666667,-88.0916116666667,19:01:48,29,8,2011
2011-08-29,7:01:58 PM,42.3930083333333,-88.09201,19:01:58,29,8,2011
2011-08-29,7:02:08 PM,42.39302,-88.0925483333333,19:02:08,29,8,2011
2011-08-29,7:02:18 PM,42.3931033333333,-88.0931816666667,19:02:18,29,8,2011
2011-08-29,7:02:28 PM,42.3931183333333,-88.0937366666667,19:02:28,29,8,2011
2011-08-29,7:02:38 PM,42.3934233333333,-88.093895,19:02:38,29,8,2011
2011-08-29,7:02:48 PM,42.3937433333333,-88.094075,19:02:48,29,8,2011
2011-08-29,7:02:58 PM,42.394105,-88.09425,19:02:58,29,8,2011
2011-08-29,7:03:08 PM,42.3944783333333,-88.0942233333333,19:03:08,29,8,2011
2011-08-29,7:03:18 PM,42.39486,-88.0941983333333,19:03:18,29,8,2011
2011-08-29,7:03:28 PM,42.395085,-88.094515,19:03:28,29,8,2011
2011-08-29,7:03:38 PM,42.395095,-88.0950266666667,19:03:38,29,8,2011
2011-08-29,7:03:48 PM,42.3950783333333,-88.09552,19:03:48,29,8,2011
2011-08-29,7:03:58 PM,42.3953516666667,-88.0957716666667,19:03:58,29,8,2011
2011-08-29,7:04:08 PM,42.3956966666667,-88.0958333333333,19:04:08,29,8,2011
2011-08-29,7:04:18 PM,42.3959833333333,-88.0957566666667,19:04:18,29,8,2011
2011-08-29,7:04:48 PM,42.3952183333333,-88.095685,19:04:48,29,8,2011
2011-08-29,7:04:58 PM,42.3949316666667,-88.095555,19:04:58,29,8,2011
